feature,n,rho_outcome,p_outcome,rho_engagement,p_engagement,effect_pos_vs_neg,p_mwu,pos_median,neg_median,q_outcome,q_mwu
spectralFluxUV_sma3nz_amean,115,-0.027308194895346697,0.7720437368764659,-0.00802080054512111,0.9322015854632544,-0.101010101010101,0.4303993963559859,0.10941000000000001,0.1169,0.9753415822157204,0.9753688594725801
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,115,0.1258828072332233,0.18007154230272576,-0.013310340972720842,0.8877242374228551,0.10016835016835013,0.4342674749134744,28.065984999999998,26.83936,0.7284712393155724,0.9753688594725801
VoicedSegmentsPerSec,115,-0.018902573081872483,0.8410809713314925,-0.1491905318194093,0.11153487107270563,-0.09932659932659937,0.43815556174825065,1.39759,1.52061,0.9918140114788189,0.9753688594725801
loudnessPeaksPerSec,115,-0.07331744290367598,0.4361554869026343,-0.19253562988447356,0.03925643954255638,-0.09764309764309764,0.4459914915350268,1.474955,1.61998,0.8345571660169008,0.9753688594725801
F2frequency_sma3nz_amean,115,0.1547225538921332,0.09872897904455127,0.07351641816328372,0.4349079655294111,0.09680134680134689,0.44993919492116974,1750.33429,1747.29858,0.6652836508779504,0.9753688594725801
F2frequency_sma3nz_stddevNorm,115,-0.17943821249882377,0.05500408415579894,-0.04177015379726794,0.6575956586476295,-0.09511784511784516,0.4578928270984415,0.15805999999999998,0.16075,0.6227113888245243,0.9753688594725801
F3amplitudeLogRelF0_sma3nz_stddevNorm,115,0.0629861858319205,0.5036631266244449,0.22713159137307767,0.014642580806521253,0.09511784511784516,0.45789371412403035,-0.535945,-0.59303,0.8789415346975608,0.9753688594725801
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,115,0.0976028382656742,0.2994005743792487,-0.011507709295156732,0.9028496501748958,0.09427609427609429,0.461900377858787,25.3674,24.18574,0.781257550632692,0.9753688594725801
loudness_sma3_meanFallingSlope,115,0.08006164452919125,0.39501786267945094,-0.059805492373326406,0.5254904408598355,0.09427609427609429,0.461900377858787,9.188155,8.61317,0.781257550632692,0.9753688594725801
mfcc1_sma3_stddevNorm,115,0.0422161943716683,0.6541731030608643,0.19613178903921005,0.03566279707594563,0.09090909090909083,0.478121188661921,1.0897000000000001,1.08105,0.9548258968562979,0.9753688594725801
loudness_sma3_percentile20.0,115,-0.052503389385795386,0.5773430192149132,-0.1664214886020222,0.07547066217835473,-0.05892255892255893,0.48750163672526514,0.00103,0.00103,0.9093588178825044,0.9753688594725801
mfcc2_sma3_stddevNorm,115,-0.02426748247587467,0.7968431966081515,-0.13943082899946627,0.1372356273700517,-0.08838383838383834,0.4904882683706199,-1.51343,-1.39671,0.9753415822157204,0.9753688594725801
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,115,0.04394926610412142,0.6409434066846585,0.07216899650530652,0.44339559001539974,-0.08501683501683499,0.5072416307422947,137.386005,140.15919,0.9548258968562979,0.9753688594725801
mfcc1_sma3_amean,115,-0.06713301896952154,0.4759314321055933,-0.21409437641210896,0.021588367241468297,-0.08333333333333337,0.5157296501148907,19.498534999999997,19.10255,0.8544198352242216,0.9753688594725801
StddevUnvoicedSegmentLength,115,0.013895921410341227,0.8828191841118344,0.24734291624273583,0.00769827969582189,0.08164983164983175,0.5242907845599407,1.32342,1.0594,0.9918140114788189,0.9753688594725801
mfcc2_sma3_amean,115,0.007321892202999647,0.9380970659163221,0.10125691675690915,0.2815841687324355,0.07575757575757569,0.5548176261262032,-10.61479,-13.11561,0.9918140114788189,0.9753688594725801
talk_share,115,0.0963892402308039,0.3054784261767086,0.019419259435576985,0.8367965319741734,0.07575757575757569,0.5548176261262032,0.5323896574440052,0.5167130919220055,0.781257550632692,0.9753688594725801
slopeV500-1500_sma3nz_amean,115,0.1787384272447302,0.05597405742242915,-0.012072264979545565,0.8981086067620596,0.07365319865319875,0.565923798327786,-0.013315,-0.01394,0.6227113888245243,0.9753688594725801
mfcc4V_sma3nz_amean,115,0.028105318327844516,0.7655792733542572,-0.01068833125990032,0.9097366894220313,0.07323232323232332,0.5681614601396858,-6.30222,-7.76115,0.9753415822157204,0.9753688594725801
spectralFluxV_sma3nz_amean,115,-0.0034527088003135946,0.9707865635689453,0.017507377353312023,0.8526730188864491,0.07239057239057245,0.5726432723128947,0.32471,0.31505,0.9918140114788189,0.9753688594725801
slopeUV0-500_sma3nz_amean,115,0.0033385273231133915,0.9717522501128975,0.14027352097134346,0.13485281759228068,0.06986531986531985,0.5861869815907848,0.090795,0.09222,0.9918140114788189,0.9753688594725801
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,115,0.17303400173192865,0.06441634419335117,0.09747867359433794,0.3000187254346559,0.06986531986531985,0.5861884592582673,6.371090000000001,6.52882,0.6370060703564726,0.9753688594725801
loudness_sma3_amean,115,-0.03352844460174823,0.7220467502615229,-0.17465498031510027,0.06191815524315053,-0.06986531986531985,0.5861884592582673,0.28226,0.31505,0.973669102625387,0.9753688594725801
loudness_sma3_stddevRisingSlope,115,0.09294996609508299,0.3231383510621882,0.0642938631664532,0.4948282780027872,0.06818181818181812,0.5953003425624084,6.68652,6.55295,0.781257550632692,0.9753688594725801
hammarbergIndexV_sma3nz_stddevNorm,115,0.06651502439825917,0.4800111433843942,0.02906060765042745,0.7578533288821097,-0.06818181818181823,0.5953003425624084,0.51815,0.56113,0.8544198352242216,0.9753688594725801
mfcc4_sma3_stddevNorm,115,-0.04480460641652077,0.6344549346545558,-0.22935301626866175,0.013677283876265529,-0.06481481481481477,0.6137152374209494,-3.50647,-3.24704,0.9548258968562979,0.9753688594725801
F0semitoneFrom27.5Hz_sma3nz_amean,115,0.1163307607078421,0.21568320220914686,0.029998340290776453,0.7502925095427262,0.06481481481481488,0.6137152374209494,29.624175,28.62308,0.7715755687238613,0.9753688594725801
HNRdBACF_sma3nz_amean,115,-0.13196871029369822,0.15975274772817463,-0.06553203441972956,0.4865389582110544,-0.0597643097643098,0.641797579923794,4.667400000000001,4.34091,0.7202959779381646,0.9824333937836034
mfcc1V_sma3nz_stddevNorm,115,0.015823826995048387,0.8667025646065413,0.0070921860959179866,0.94003544586809,-0.0585016835016835,0.6489004338951339,0.240565,0.24185,0.9918140114788189,0.9824333937836034
mfcc3_sma3_amean,115,0.010953729864548708,0.9075052021006392,-0.15702924835669566,0.09374416421623809,-0.058080808080808066,0.6512760700363214,10.899575,11.11287,0.9918140114788189,0.9824333937836034
F1frequency_sma3nz_amean,115,0.1313104117286579,0.16186426470520554,0.04750571764408848,0.6141478505372405,0.05387205387205385,0.6752174631573726,708.6483450000001,713.18817,0.7202959779381646,0.9831464528718531
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,115,0.038508226944094164,0.682836830495722,0.07388058617895324,0.43263000202686547,0.05387205387205385,0.6752174631573726,632.66443,516.23022,0.9646425065733215,0.9831464528718531
alphaRatioUV_sma3nz_amean,115,0.0011464247119069783,0.9902981747736942,0.046176504386894746,0.6241057428950036,-0.05218855218855223,0.6848885402028639,-2.3399900000000002,-1.44566,0.9918140114788189,0.9831464528718531
F1frequency_sma3nz_stddevNorm,115,-0.1441718639653643,0.1242384614203247,0.0035415339523860515,0.9700353565643072,-0.04797979797979801,0.7092903036945928,0.376135,0.38378,0.7202959779381646,0.9868387001320583
mfcc3V_sma3nz_amean,115,-0.022055241039616674,0.8150154194390271,0.024189860440847658,0.7974790397268277,-0.04629629629629628,0.7191368519409338,20.92999,21.73826,0.9802212477036949,0.9868387001320583
F1bandwidth_sma3nz_stddevNorm,115,0.09599086787572156,0.30749100406206387,0.049818282820106835,0.5969901019978475,0.04040404040404044,0.7539582086256582,0.219285,0.22146,0.781257550632692,0.9868387001320583
logRelF0-H1-A3_sma3nz_stddevNorm,115,0.13344204517735994,0.1551015494149046,0.02790437420067673,0.7672073795569221,0.03703703703703698,0.7740891592034367,0.7622450000000001,0.77319,0.7202959779381646,0.9868387001320583
MeanVoicedSegmentLengthSec,115,-0.11982377350193367,0.20212154437987703,-0.14362786538005745,0.12567979632525014,-0.03451178451178449,0.7892881841443761,0.18333,0.18113,0.7715755687238613,0.9868387001320583
logRelF0-H1-A3_sma3nz_amean,115,-0.06672102258867997,0.47864915294355753,-0.01107981187674505,0.9064453482427758,0.02946127946127941,0.8199224821761291,18.560625,16.87509,0.8544198352242216,0.9868387001320583
mfcc3_sma3_stddevNorm,115,-0.02845909782878456,0.7627153372418989,0.18936736814814875,0.04266926461582398,0.02777777777777768,0.8301978017748202,1.64855,1.6659,0.9753415822157204,0.9868387001320583
mfcc1V_sma3nz_amean,115,-0.1003166405133915,0.28609940993806965,-0.019246279628133967,0.8382303808037267,0.026936026936027035,0.8353464886055606,42.271924999999996,41.85365,0.781257550632692,0.9868387001320583
equivalentSoundLevel_dBp,115,-0.030796729467907385,0.7438737674445203,-0.12313431029825539,0.18984479103836072,0.025252525252525304,0.8456648455034024,-26.56576,-26.36077,0.9753415822157204,0.9868387001320583
mfcc2V_sma3nz_amean,115,-0.11606654563751978,0.2167347103156914,-0.041988572206695295,0.6559188013063901,-0.022727272727272707,0.8611915996584872,-21.615085,-22.98621,0.7715755687238613,0.9868387001320583
