feature,n,rho,p,effect_won_vs_lost,p_mwu,q
slopeV0-500_sma3nz_amean,63,-0.09656387166141288,0.45153060016875923,-0.06818181818181823,0.7338530429333654,0.8755206319096388
talk_share_pct,63,0.09648932415369693,0.451881616469491,-0.02840909090909094,0.8941575633270203,0.8755206319096388
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,63,0.09236325361014397,0.47154269803919274,0.15909090909090917,0.41618678630843964,0.8814678508006084
F2bandwidth_sma3nz_amean,63,-0.09164263635033924,0.4750230478533699,-0.1477272727272727,0.4508952758800513,0.8814678508006084
loudness_sma3_stddevRisingSlope,63,0.08841228311673183,0.49079219071143154,0.2102272727272727,0.2805230387738574,0.8814678508006084
jitterLocal_sma3nz_stddevNorm,63,-0.08478434794668044,0.5088238740358417,-0.03409090909090906,0.8708247972647152,0.8814678508006084
mfcc1_sma3_stddevNorm,63,0.08466010359154169,0.5094473356972644,0.11931818181818188,0.5444515342965626,0.8814678508006084
equivalentSoundLevel_dBp,63,0.08418797504201445,0.5118200424003533,0.20454545454545459,0.29391148498790687,0.8814678508006084
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,63,-0.08058488874299082,0.5301109480414429,-0.17613636363636365,0.3671889398783247,0.8963694212337124
F1bandwidth_sma3nz_amean,63,-0.07027260726647488,0.5841867276519916,-0.011363636363636354,0.9646266683062491,0.9640199608481812
F1frequency_sma3nz_stddevNorm,63,0.06791277952924381,0.5969040077870718,0.06818181818181812,0.7338390332738263,0.9640199608481812
F2bandwidth_sma3nz_stddevNorm,63,0.06711760611360684,0.601216749776285,0.125,0.5249975148598474,0.9640199608481812
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,63,-0.06403554063850982,0.6180608033329782,-0.17045454545454541,0.3831070335377086,0.9742314357621521
shimmerLocaldB_sma3nz_stddevNorm,63,0.05856878901240498,0.6484201851551322,0.09090909090909083,0.6467605527840228,0.9947566639368213
hammarbergIndexV_sma3nz_amean,63,-0.0578233228815725,0.6526060825519892,-0.07954545454545459,0.6897930952582196,0.9947566639368213
mfcc1V_sma3nz_stddevNorm,63,0.055239040294686584,0.6671992811569497,0.08522727272727271,0.6681404782905049,0.9947566639368213
F3bandwidth_sma3nz_stddevNorm,63,-0.04830620527794454,0.7069464179884233,-0.14204545454545459,0.46884617099821113,0.9947566639368213
alphaRatioV_sma3nz_amean,63,0.04808256543869479,0.7082423493064012,0.02840909090909083,0.8941575633270203,0.9947566639368213
mfcc1_sma3_amean,63,-0.04780922785738956,0.7098273845205234,-0.07954545454545459,0.6897930952582196,0.9947566639368213
hammarbergIndexV_sma3nz_stddevNorm,63,0.04619405124058586,0.719218311036367,0.011363636363636465,0.9646266683062491,0.9947566639368213
alphaRatioV_sma3nz_stddevNorm,63,-0.04562252720694762,0.7225512650329237,-0.022727272727272707,0.9175822844131022,0.9947566639368213
F3amplitudeLogRelF0_sma3nz_stddevNorm,63,-0.03791937718834536,0.7679519981544528,0.13068181818181812,0.505905668223771,0.9947566639368213
mfcc3_sma3_stddevNorm,63,0.03752179525190137,0.7703179704620173,0.05681818181818188,0.7788075125624685,0.9947566639368213
mfcc1V_sma3nz_amean,63,-0.035682978795847926,0.7812874099354252,-0.125,0.5249975148598474,0.9947566639368213
logRelF0-H1-H2_sma3nz_amean,63,0.03434113976034946,0.7893191385844817,0.1647727272727273,0.3994409100246501,0.9947566639368213
F1amplitudeLogRelF0_sma3nz_amean,63,0.031061088784686563,0.8090427885361712,-0.03409090909090906,0.8708247972647152,0.9947566639368213
F3bandwidth_sma3nz_amean,63,-0.0281537708744399,0.826624998319346,0.0,1.0,0.9947566639368213
