feature,n_reps,rho_advrate,p,effect_hi_vs_lo,p_mwu,hi_median,lo_median,q
logRelF0-H1-H2_sma3nz_stddevNorm,13,0.3186813186813187,0.2885831614447202,0.23809523809523814,0.5337995337995338,3.2434078205128207,2.1093462499999998,0.8328335435623357
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,13,0.30769230769230765,0.30644705251252874,0.4285714285714286,0.23426573426573427,499.00626753846154,381.91984999999994,0.8328335435623357
StddevVoicedSegmentLengthSec,13,-0.2967032967032967,0.324921588485975,-0.2857142857142857,0.4452214452214452,0.17877717948717947,0.21453,0.8328335435623357
F2amplitudeLogRelF0_sma3nz_amean,13,-0.2912087912087912,0.3343858561975295,-0.33333333333333337,0.36596736596736595,-145.55395416666664,-125.82735199999999,0.8328335435623357
jitterLocal_sma3nz_stddevNorm,13,0.2912087912087912,0.3343858561975295,0.0,1.0,1.6039085,1.6458466666666667,0.8328335435623357
MeanVoicedSegmentLengthSec,13,-0.2912087912087912,0.3343858561975295,-0.2857142857142857,0.4452214452214452,0.199397,0.23989375,0.8328335435623357
hammarbergIndexV_sma3nz_amean,13,-0.2802197802197803,0.3537636356336791,-0.38095238095238093,0.2948717948717949,21.973598653846153,25.0599075,0.8328335435623357
F3bandwidth_sma3nz_amean,13,-0.2692307692307692,0.37373304228189164,-0.23809523809523814,0.5337995337995338,956.8663658333332,985.89447,0.8328335435623357
mfcc1V_sma3nz_stddevNorm,13,0.2582417582417582,0.3942840173973615,0.19047619047619047,0.6282051282051282,0.22714538461538464,0.1917,0.8328335435623357
F3amplitudeLogRelF0_sma3nz_amean,13,-0.25274725274725274,0.40477407127094645,-0.2857142857142857,0.4452214452214452,-147.26414833333334,-127.53377,0.8328335435623357
mfcc1_sma3_amean,13,-0.24725274725274726,0.4154051197255381,-0.33333333333333337,0.36596736596736595,19.176665096153847,26.4224375,0.8328335435623357
F2bandwidth_sma3nz_amean,13,-0.24725274725274726,0.4154051197255381,-0.19047619047619047,0.6282051282051282,1029.476184326923,1059.7049566666667,0.8328335435623357
shimmerLocaldB_sma3nz_amean,13,0.24725274725274726,0.4154051197255381,0.0,1.0,1.3801804615384614,1.37030625,0.8328335435623357
loudness_sma3_meanRisingSlope,13,0.23626373626373626,0.4370835438311815,0.1428571428571428,0.7307692307692307,10.759233166666668,10.807792500000001,0.8328335435623357
mfcc3V_sma3nz_stddevNorm,13,0.23076923076923078,0.4481273823153657,0.04761904761904767,0.9452214452214451,1.3136998333333332,1.2863525,0.8328335435623357
slopeV0-500_sma3nz_amean,13,0.22527472527472525,0.45930514272500567,0.04761904761904767,0.9452214452214451,0.057702666666666666,0.0554125,0.8328335435623357
