analysis,feature,n,spearman_vs_stage,p_spearman,won_vs_lost_effect,p_mwu,won_median,lost_median,q_spearman,q_mwu
within-rep-z,dominance,60,0.2337444871375393,0.0722594450953512,0.2892156862745099,0.12155574541553094,0.1607651199818262,-0.3900042725485031,0.9373308498221244,0.7153202464977294
within-rep-z,loudness_sma3_meanFallingSlope,60,0.22303467020384352,0.08672595348170922,0.392156862745098,0.035396499573923865,0.11708319643494847,-0.6594302770060892,0.9373308498221244,0.5899416595653978
within-rep-z,shimmerLocaldB_sma3nz_amean,60,0.2030844548617656,0.11964616872005275,0.2892156862745099,0.12160444190461399,0.10507462621353136,-0.3948850686051006,0.9373308498221244,0.7153202464977294
within-rep-z,arousal,60,0.18561330311494012,0.15564209720077968,0.23774509803921573,0.2039096433330242,0.32916685118752653,0.12718167854831408,0.9373308498221244,0.8092676278746366
within-rep-z,HNRdBACF_sma3nz_stddevNorm,60,0.18240612947070672,0.16303885505525495,0.32352941176470584,0.08303990817936754,-0.010905558560783275,-0.5939544885082334,0.9373308498221244,0.7153202464977294
within-rep-z,alphaRatioV_sma3nz_stddevNorm,60,-0.18167801942172576,0.16475347904785423,-0.3921568627450981,0.035396499573923865,0.15131875096872766,0.21937740392036872,0.9373308498221244,0.5899416595653978
within-rep-z,mfcc1V_sma3nz_amean,60,-0.17870733042188353,0.17188625768300428,-0.33333333333333337,0.07406050117984497,-0.27894282770243906,0.3999508885112457,0.9373308498221244,0.7153202464977294
within-rep-z,pace_peaks_per_sec,60,0.1750790460833009,0.18089998913227714,0.4019607843137254,0.030947062652119942,-0.26167162034156766,-0.6999393588446862,0.9373308498221244,0.5899416595653978
within-rep-z,mfcc4V_sma3nz_stddevNorm,60,0.16003858876601207,0.22190908943772533,0.32352941176470584,0.08303990817936754,0.24331611035177317,0.20266956993633878,0.9373308498221244,0.7153202464977294
within-rep-z,loudness_mean,60,0.15378325189423697,0.24074134844221481,0.29166666666666674,0.1184356338401533,-0.034821910517708006,-0.4248079508758428,0.9373308498221244,0.7153202464977294
within-rep-z,F2bandwidth_sma3nz_stddevNorm,60,0.1453890145805154,0.267693438522405,0.2450980392156863,0.19022665361389512,0.11950773448151324,-0.11916555056030835,0.9373308498221244,0.8092676278746366
within-rep-z,mfcc3V_sma3nz_amean,60,-0.14352505285512418,0.27394195073139854,-0.1470588235294118,0.4350067383993107,-0.2581845492033911,0.40345295708456236,0.9373308498221244,0.8476106114088565
within-rep-z,spectralFluxV_sma3nz_amean,60,0.14311731122769483,0.27532164564168005,0.2549019607843137,0.17293466931756118,0.1810414760127296,-0.6862655106666338,0.9373308498221244,0.8092676278746366
within-rep-z,mfcc1_sma3_amean,60,-0.14215620596304002,0.2785920291739091,-0.18627450980392157,0.32102426893048785,-0.11520883721716058,0.39121873825445347,0.9373308498221244,0.8148732012498945
